0.00 inf
0.02 7.27508148e+01
0.04 3.67516391e+01
0.06 2.41909272e+01
0.08 1.78349316e+01
0.10 1.40490483e+01
0.12 1.14823572e+01
0.14 9.58552583e+00
0.16 8.25468256e+00
0.18 7.24202694e+00
0.20 6.45016954e+00
0.22 5.80154237e+00
0.24 5.29305829e+00
0.26 4.87698208e+00
0.28 4.51933264e+00
0.30 4.22095503e+00
0.32 3.95405306e+00
0.34 3.71492052e+00
0.36 3.49731081e+00
0.38 3.30753467e+00
0.40 3.14283391e+00
0.42 2.99776745e+00
0.44 2.87092517e+00
0.46 2.74776456e+00
0.48 2.64318119e+00
0.50 2.55243795e+00
0.52 2.46710526e+00
0.54 2.38602098e+00
0.56 2.31729346e+00
0.58 2.24849823e+00
0.60 2.19069204e+00
0.62 2.13333474e+00
0.64 2.07908305e+00
0.66 2.02928028e+00
0.68 1.98139393e+00
0.70 1.93244047e+00
0.72 1.88351734e+00
0.74 1.83314940e+00
0.76 1.78330050e+00
0.78 1.73489128e+00
0.80 1.68994749e+00
0.82 1.64496155e+00
0.84 1.60277172e+00
0.86 1.56835498e+00
0.88 1.53431195e+00
0.90 1.49992732e+00
0.92 1.46367587e+00
0.94 1.42903023e+00
0.96 1.39788319e+00
0.98 1.36669331e+00
1.00 1.33527566e+00
